Имя	Группа	Профиль	Включено	Действие	Частота	Программа	Локальный адрес	Удаленный адрес	Протокол	Локальный порт	Удаленный порт	Авторизованные пользователи	Разрешенные компьютеры	Авторизованные локальные субъекты	Локальный пользователь-владелец	Пакет приложения	
Платформа подключенных устройств — транспорт Wi-Fi Direct (TCP-In)	Платформа подключенных устройств	Общий	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Платформа подключенных устройств (TCP-In)	Платформа подключенных устройств	Домен, Частный	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Платформа подключенных устройств (UDP-In)	Платформа подключенных устройств	Домен, Частный	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Портал устройств Windows (Http-In-Domain)	Портал устройств Windows	Домен	Нет	Разрешить	Нет	System	Любой	Любой	TCP	50080	Любой	Любой	Любой	Любой	Любой	Любой	
Портал устройств Windows (Http-In-Private)	Портал устройств Windows	Частный	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	50080	Любой	Любой	Любой	Любой	Любой	Любой	
Портал устройств Windows (Https-In-Domain)	Портал устройств Windows	Домен	Нет	Разрешить	Нет	System	Любой	Любой	TCP	50443	Любой	Любой	Любой	Любой	Любой	Любой	
Портал устройств Windows (Https-In-Private)	Портал устройств Windows	Частный	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	50443	Любой	Любой	Любой	Любой	Любой	Любой	
Проигрыватель Windows Media (UDP - входящий)	Проигрыватель Windows Media	Все	Нет	Разрешить	Нет	%ProgramFiles%\Windows Media Player\wmplayer.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Проигрыватель Windows Media x86 (UDP - входящий)	Проигрыватель Windows Media	Все	Нет	Разрешить	Нет	%ProgramFiles(x86)%\Windows Media Player\wmplayer.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер протоколов DIAL (входящий трафик HTTP)	Сервер протоколов DIAL	Частный	Да	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	10247	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер протоколов DIAL (входящий трафик HTTP)	Сервер протоколов DIAL	Домен	Да	Разрешить	Нет	System	Любой	Любой	TCP	10247	Любой	Любой	Любой	Любой	Любой	Любой	
Служба iSCSI (TCP - входящий)	Служба iSCSI	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Служба iSCSI (TCP - входящий)	Служба iSCSI	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Протокол координации платформы служб приложений WFD (входящий трафик UDP)	Служба беспроводной сети — протокол координации платформы служб приложений WFD (использует UDP)	Все	Да	Разрешить	Нет	%systemroot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	7235	7235	Любой	Любой	Любой	Любой	Любой	
Только для драйвера WFD (TCP — входящий трафик)	Служба беспроводных сетей — правила для работающих в режиме ядра драйверов служб WFD	Все	Да	Разрешить	Нет	System	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Только для драйвера WFD (UDP — входящий трафик)	Служба беспроводных сетей — правила для работающих в режиме ядра драйверов служб WFD	Все	Да	Разрешить	Нет	System	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Служба веб-управления (входящий трафик HTTP)	Служба веб-управления (HTTP)	Все	Нет	Разрешить	Нет	system	Любой	Любой	TCP	8172	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (qWave TCP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	2177	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (qWave TCP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	2177	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (qWave UDP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	2177	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (qWave UDP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	2177	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (SSDP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	1900	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (TCP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Домен	Нет	Разрешить	Нет	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (TCP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Частный, Общий	Нет	Разрешить	Нет	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Любой	Локальная подсеть	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (UDP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Частный, Общий	Нет	Разрешить	Нет	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Любой	Локальная подсеть	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (UDP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Домен	Нет	Разрешить	Нет	%PROGRAMFILES%\Windows Media Player\wmpnetwk.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (UPnP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Все	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	2869	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (потоковая передача, HTTP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	10243	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (потоковая передача, HTTP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Домен	Нет	Разрешить	Нет	System	Любой	Любой	TCP	10243	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (потоковая передача, UDP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Домен	Нет	Разрешить	Нет	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (потоковая передача, UDP - входящий)	Служба общего доступа к проигрывателю Windows Media по сети	Частный, Общий	Нет	Разрешить	Нет	%PROGRAMFILES%\Windows Media Player\wmplayer.exe	Любой	Локальная подсеть	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Служба общего доступа к проигрывателю Windows Media по сети (потоковая передача, протокол HTTP - входящий трафик)	Служба общего доступа к проигрывателю Windows Media по сети (Интернет)	Домен, Частный	Нет	Разрешить	Нет	System	Любой	Любой	TCP	10245	Любой	Любой	Любой	Любой	Любой	Любой	
Служба регистрации имен компьютеров конференц-зала Windows (PNRP - входящий трафик)	Служба регистрации имен компьютеров конференц-зала Windows	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	3540	Любой	Любой	Любой	Любой	Любой	Любой	
Служба регистрации имен компьютеров конференц-зала Windows (SSDP - входящий трафик)	Служба регистрации имен компьютеров конференц-зала Windows	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	1900	Любой	Любой	Любой	Любой	Любой	Любой	
Служба управления ключами (входящий трафик TCP)	Служба управления ключами	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\sppextcomobj.exe	Любой	Локальная подсеть	TCP	1688	Любой	Любой	Любой	Любой	Любой	Любой	
Служба управления ключами (входящий трафик TCP)	Служба управления ключами	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\sppextcomobj.exe	Любой	Любой	TCP	1688	Любой	Любой	Любой	Любой	Любой	Любой	
Службы Интернета (входящий трафик HTTP)	Службы Интернета (HTTP)	Все	Да	Разрешить	Нет	System	Любой	Любой	TCP	80	Любой	Любой	Любой	Любой	Любой	Любой	
Правило входящего трафика для удаленного завершения работы (RPC-EP — входящий трафик)	Удаленное завершение работы	Все	Нет	Разрешить	Нет	%systemroot%\system32\wininit.exe	Любой	Любой	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Правило входящего трафика для удаленного завершения работы (TCP — входящий трафик)	Удаленное завершение работы	Все	Нет	Разрешить	Нет	%systemroot%\system32\wininit.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление Windows (HTTP - входящий трафик)	Удаленное управление Windows	Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	5985	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление Windows (HTTP - входящий трафик)	Удаленное управление Windows	Домен, Частный	Нет	Разрешить	Нет	System	Любой	Любой	TCP	5985	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление Windows - режим совместимости (HTTP - входящий трафик)	Удаленное управление Windows (режим совместимости)	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	80	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление Windows - режим совместимости (HTTP - входящий трафик)	Удаленное управление Windows (режим совместимости)	Домен	Нет	Разрешить	Нет	System	Любой	Любой	TCP	80	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление брандмауэром Защитника Windows (RPC)	Удаленное управление брандмауэром Защитника Windows	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление брандмауэром Защитника Windows (RPC)	Удаленное управление брандмауэром Защитника Windows	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление брандмауэром Защитника Windows (RPC-EPMAP)	Удаленное управление брандмауэром Защитника Windows	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление брандмауэром Защитника Windows (RPC-EPMAP)	Удаленное управление брандмауэром Защитника Windows	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление журналом событий (RPC)	Удаленное управление журналом событий	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление журналом событий (RPC)	Удаленное управление журналом событий	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление журналом событий (RPC-EPMAP)	Удаленное управление журналом событий	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление журналом событий (RPC-EPMAP)	Удаленное управление журналом событий	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление журналом событий (именованные каналы - входящий)	Удаленное управление журналом событий	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	445	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление журналом событий (именованные каналы - входящий)	Удаленное управление журналом событий	Домен	Нет	Разрешить	Нет	System	Любой	Любой	TCP	445	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление назначенными задачами (RPC)	Удаленное управление назначенными задачами	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление назначенными задачами (RPC)	Удаленное управление назначенными задачами	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление назначенными задачами (RPC-EPMAP)	Удаленное управление назначенными задачами	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление назначенными задачами (RPC-EPMAP)	Удаленное управление назначенными задачами	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление службой (RPC)	Удаленное управление службой	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\services.exe	Любой	Локальная подсеть	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление службой (RPC)	Удаленное управление службой	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\services.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление службой (RPC-EPMAP)	Удаленное управление службой	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление службой (RPC-EPMAP)	Удаленное управление службой	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление службой (именованные каналы - входящий)	Удаленное управление службой	Частный, Общий	Нет	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	445	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление службой (именованные каналы - входящий)	Удаленное управление службой	Домен	Нет	Разрешить	Нет	System	Любой	Любой	TCP	445	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление томами - загрузчик службы виртуальных дисков (RPC)	Удаленное управление томами	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\vdsldr.exe	Любой	Локальная подсеть	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление томами - загрузчик службы виртуальных дисков (RPC)	Удаленное управление томами	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\vdsldr.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление томами - служба виртуальных дисков (RPC)	Удаленное управление томами	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\vds.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление томами - служба виртуальных дисков (RPC)	Удаленное управление томами	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\vds.exe	Любой	Локальная подсеть	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление томами (RPC - EPMAP)	Удаленное управление томами	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленное управление томами (RPC - EPMAP)	Удаленное управление томами	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный мониторинг событий (RPC)	Удаленный мониторинг событий	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\NetEvtFwdr.exe	Любой	Любой	TCP	Динамические порты RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный мониторинг событий (RPC-EPMAP)	Удаленный мониторинг событий	Все	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	Сопоставитель конечных точек RPC	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный помощник (DCOM - входящий трафик)	Удаленный помощник	Домен	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	135	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный помощник (SSDP TCP - входящий)	Удаленный помощник	Домен, Частный	Да	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	2869	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный помощник (SSDP UDP - входящий)	Удаленный помощник	Домен, Частный	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	UDP	1900	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный помощник (TCP - входящий)	Удаленный помощник	Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\msra.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный помощник (TCP - входящий)	Удаленный помощник	Домен, Частный	Да	Разрешить	Нет	%SystemRoot%\system32\msra.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный помощник (протокол PNRP - входящий трафик)	Удаленный помощник	Общий	Нет	Разрешить	Нет	%systemroot%\system32\svchost.exe	Любой	Любой	UDP	3540	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный помощник (протокол PNRP - входящий трафик)	Удаленный помощник	Домен, Частный	Да	Разрешить	Нет	%systemroot%\system32\svchost.exe	Любой	Любой	UDP	3540	Любой	Любой	Любой	Любой	Любой	Любой	
Удаленный помощник (сервер удаленного помощника TCP-входящий)	Удаленный помощник	Домен	Да	Разрешить	Нет	%SystemRoot%\system32\raserver.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Управление виртуальными смарт-картами доверенного платформенного модуля (входящий трафик DCOM)	Управление виртуальными смарт-картами доверенного платформенного модуля	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	TCP	135	Любой	Любой	Любой	Любой	Любой	Любой	
Управление виртуальными смарт-картами доверенного платформенного модуля (входящий трафик DCOM)	Управление виртуальными смарт-картами доверенного платформенного модуля	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Локальная подсеть	TCP	135	Любой	Любой	Любой	Любой	Любой	Любой	
Управление виртуальными смарт-картами доверенного платформенного модуля (входящий трафик TCP)	Управление виртуальными смарт-картами доверенного платформенного модуля	Частный, Общий	Нет	Разрешить	Нет	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	Любой	Локальная подсеть	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Управление виртуальными смарт-картами доверенного платформенного модуля (входящий трафик TCP)	Управление виртуальными смарт-картами доверенного платформенного модуля	Домен	Нет	Разрешить	Нет	%SystemRoot%\system32\RmtTpmVscMgrSvr.exe	Любой	Любой	TCP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Установщик приложения	Установщик приложения	Домен, Частный	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.DesktopAppInstaller_8wekyb3d8bbwe	
Учетная запись компании или учебного заведения	Учетная запись компании или учебного заведения	Домен, Частный	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy	
Фотографии (Майкрософт)	Фотографии (Майкрософт)	Все	Да	Разрешить	Нет	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	Любой	PREDATOR-MAXSA\MAKS	Microsoft.Windows.Photos_8wekyb3d8bbwe	
Обнаружение передачи на устройство SSDP (UDP-входящий)	Функция "Передать на устройство"	Общий	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Любой	UDP	Обнаружение устройств воспроизведения	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер потоковой передачи на устройство (потоковая передача, HTTP — входящий)	Функция "Передать на устройство"	Домен	Да	Разрешить	Нет	System	Любой	Любой	TCP	10246	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер потоковой передачи на устройство (потоковая передача, HTTP — входящий)	Функция "Передать на устройство"	Общий	Да	Разрешить	Нет	System	Любой	Обработчики воспроизведения	TCP	10246	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер потоковой передачи на устройство (потоковая передача, HTTP — входящий)	Функция "Передать на устройство"	Частный	Да	Разрешить	Нет	System	Любой	Локальная подсеть	TCP	10246	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер потоковой передачи на устройство (потоковая передача, RTCP — входящий)	Функция "Передать на устройство"	Частный	Да	Разрешить	Нет	%SystemRoot%\system32\mdeserver.exe	Любой	Локальная подсеть	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер потоковой передачи на устройство (потоковая передача, RTCP — входящий)	Функция "Передать на устройство"	Домен	Да	Разрешить	Нет	%SystemRoot%\system32\mdeserver.exe	Любой	Любой	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер потоковой передачи на устройство (потоковая передача, RTCP — входящий)	Функция "Передать на устройство"	Общий	Да	Разрешить	Нет	%SystemRoot%\system32\mdeserver.exe	Любой	Обработчики воспроизведения	UDP	Любой	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер потоковой передачи на устройство (потоковая передача, RTSP — входящий)	Функция "Передать на устройство"	Общий	Да	Разрешить	Нет	%SystemRoot%\system32\mdeserver.exe	Любой	Обработчики воспроизведения	TCP	23554, 23555, 23556	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер потоковой передачи на устройство (потоковая передача, RTSP — входящий)	Функция "Передать на устройство"	Частный	Да	Разрешить	Нет	%SystemRoot%\system32\mdeserver.exe	Любой	Локальная подсеть	TCP	23554, 23555, 23556	Любой	Любой	Любой	Любой	Любой	Любой	
Сервер потоковой передачи на устройство (потоковая передача, RTSP — входящий)	Функция "Передать на устройство"	Домен	Да	Разрешить	Нет	%SystemRoot%\system32\mdeserver.exe	Любой	Любой	TCP	23554, 23555, 23556	Любой	Любой	Любой	Любой	Любой	Любой	
События UPnP передачи на устройство (TCP-входящий)	Функция "Передать на устройство"	Общий	Да	Разрешить	Нет	System	Любой	Обработчики воспроизведения	TCP	2869	Любой	Любой	Любой	Любой	Любой	Любой	
Функция передачи на устройство (qWave-TCP-входящий)	Функция "Передать на устройство"	Частный, Общий	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Обработчики воспроизведения	TCP	2177	Любой	Любой	Любой	Любой	Любой	Любой	
Функция передачи на устройство (qWave-UDP-входящий)	Функция "Передать на устройство"	Частный, Общий	Да	Разрешить	Нет	%SystemRoot%\system32\svchost.exe	Любой	Обработчики воспроизведения	UDP	2177	Любой	Любой	Любой	Любой	Любой	Любой	
